Unnamed: 0,Title,Category,Date,Keywords,URL
0,"Israel-Gaza war live updates Israel and Hamas agree to hostage release deal, 4-day pause in fighting",1,2023-11-22 00:00:00,conflict history additional israel israels hamas fighting updates israeli gaza live release attack war hospital hostage israelgaza pause,https://www.washingtonpost.com/world/2023/11/22/israel-hamas-war-news-hostages-gaza-palestine/
1,"Israel-Gaza war live updates Israel and Hamas agree to hostage release deal, 4-day pause in fighting",1,2023-11-22 00:00:00,conflict history additional israel israels hamas fighting updates israeli gaza live release attack war hospital hostage israelgaza pause,https://www.washingtonpost.com/world/2023/11/22/israel-hamas-war-news-hostages-gaza-palestine/#link-I3YFZX5EZNBXRKNTKHYF6PLKYA
2,"Israel-Gaza war live updates Israel and Hamas agree to hostage release deal, 4-day pause in fighting",1,2023-11-22 00:00:00,conflict history additional israel israels hamas fighting updates israeli gaza live release attack war hospital hostage israelgaza pause,https://www.washingtonpost.com/world/2023/11/22/israel-hamas-war-news-hostages-gaza-palestine/#link-VBB76IE2WZC2FDBE5AFKWUH2XA
3,"Israel-Gaza war live updates Israel and Hamas agree to hostage release deal, 4-day pause in fighting",1,2023-11-22 00:00:00,conflict history additional israel israels hamas fighting updates israeli gaza live release attack war hospital hostage israelgaza pause,https://www.washingtonpost.com/world/2023/11/22/israel-hamas-war-news-hostages-gaza-palestine/#link-XDETSEY2IRDLTHX26V7L2UKI5Q
4,"After Israel-Hamas deal, the agonizing wait for the release of captives",1,2023-11-22 00:00:00,deal israelhamas captives according agonizing israel hostages hamas israeli gaza release war wait pause,https://www.washingtonpost.com/world/2023/11/22/israel-hamas-hostage-exchange-deal-gaza/
5,"Inside the hard, circuitous route to a hostage release deal",1,2023-11-22 00:00:00,deal hard route biden qatar israel hostages hamas gaza circuitous israeli release official hostage inside pause,https://www.washingtonpost.com/national-security/2023/11/22/israel-hamas-us-hostage-deal/
6,Here’s what’s in the Israel-Hamas deal to pause fighting in Gaza,1,2023-11-21 00:00:00,heres whats israelhamas deal conflict history additional israels hamas fighting gaza israeli attack hospital israelgaza pause,https://www.washingtonpost.com/world/2023/11/21/israel-hamas-deal-truce-hostages/
7,Altman’s polarizing past hints at OpenAI board’s reason for firing him,1,2023-11-22 00:00:00,reason ceo past polarizing firing boards valley board company silicon altmans ai openai altman hints person,https://www.washingtonpost.com/technology/2023/11/22/sam-altman-fired-y-combinator-paul-graham/
8,Sam Altman reinstated as OpenAI CEO with new board members,1,2023-11-22 00:00:00,reinstated ceo members return sam board company ai openai openais altman chief summers,https://www.washingtonpost.com/technology/2023/11/22/sam-altman-back-openai/
9,"Live updates Two people dead after car crashed, exploded on Rainbow Bridge, officials say",1,2023-11-22 00:00:00,say wgrz crashed dead explosion vehicle exploded car investigation updates united live injured bridge rainbow border officials went,https://www.washingtonpost.com/nation/2023/11/22/rainbow-bridge-explosion-new-york-canada/
10,"Live updates Two people dead after car crashed, exploded on Rainbow Bridge, officials say",1,2023-11-22 00:00:00,say wgrz crashed dead explosion vehicle exploded car investigation updates united live injured bridge rainbow border officials went,https://www.washingtonpost.com/nation/2023/11/22/rainbow-bridge-explosion-new-york-canada/#link-NKQSYJ7GNRGFBOJRBXO7IVSZYA
11,"Live updates Two people dead after car crashed, exploded on Rainbow Bridge, officials say",1,2023-11-22 00:00:00,say wgrz crashed dead explosion vehicle exploded car investigation updates united live injured bridge rainbow border officials went,https://www.washingtonpost.com/nation/2023/11/22/rainbow-bridge-explosion-new-york-canada/#link-SX5ORT4PY5BKVEHLK4VFCTZNZU
12,"Q&A: Ask The Post’s Aaron Hutcherson, Becky Krystal and more about Thanksgiving cooking",1,2023-11-22 00:00:00,ask thanksgiving posts newsletter recipe comment wilson krystal hutcherson aaron post qa help cooking write recipes becky food,https://www.washingtonpost.com/food/2023/11/22/questions-recipe-cooking-advice/
13,"Brine it, bag it, fry it, smoke it: A century of Thanksgiving turkeys",1,2023-11-14 00:00:00,whats smoke fry theyve century thanksgiving bag course long brine reader quick turkey recipes recipe turkeys,https://www.washingtonpost.com/food/2023/11/14/thanksgiving-turkey-cooking-style-method-history/
14,The unexpected benefit of choosing a smaller portion at Thanksgiving,1,2023-11-22 00:00:00,unexpected smaller plan leftovers throw choosing thanksgiving waste eat constantino portion plate turkey benefit food,https://www.washingtonpost.com/climate-solutions/2023/11/22/thanksgiving-food-waste-leftovers/
15,"Single, no kids? Here’s who can handle your estate plans.",1,2023-11-22 00:00:00,heres trust estate best plans children daughter attorney money handle need dont kids pet single,https://www.washingtonpost.com/business/2023/11/22/will-estate-planning-single-families/
16,Nobody wanted Elvis the dog. Then a former Elvis impersonator saw him.,1,2023-11-22 00:00:00,elvis dog saw left wanted shelter agron day post pup impersonator waiting adopted wilhelm,https://www.washingtonpost.com/lifestyle/2023/11/22/elvis-dog-adopted-chicago-impersonator/
17,The newest TV shows and movies to stream right now,1,2023-04-24 00:00:00,newest teen polaropposite stream tv walter princeton york series shows jackie brothers tries movies right rural,https://www.washingtonpost.com/arts-entertainment/2023/04/24/what-to-watch-streaming-tv-movies/
18,Why is Jon Hamm everyone everywhere all at once this year?,1,2023-11-22 00:00:00,hamm character plays don american style draper hes little jon guy,https://www.washingtonpost.com/entertainment/tv/2023/11/22/jon-hamm-fargo-good-omens-maverick/
19,"Promised pause in Gaza fighting brings relief, exhaustion, fear",1,2023-11-22 00:00:00,days north fear fighting promised children provide gaza exhaustion brings israeli wounded hospital relief pause,https://www.washingtonpost.com/world/2023/11/22/gaza-pause-scene/
20,How to be a financially savvy holiday shopper,1,,shopper gifts savvy text financially youre sign holiday washington retail michelle season wont,https://www.washingtonpost.com/podcasts/post-reports/how-to-be-a-financially-savvy-holiday-shopper/
21,"Forget Black Friday. Secondhand gifts are easier on the wallet, mind.",1,2023-11-22 00:00:00,gifts buy wallet shopping easier best forget online secondhand change items clothes black used mind,https://www.washingtonpost.com/dc-md-va/2023/11/22/secondhand-shopping-holiday-season/
22,Flaubert’s letters are as hilarious and humane as his best fiction,1,2023-11-22 00:00:00,writing humane fiction flauberts god best friend hilarious style life wrote flaubert letters,https://www.washingtonpost.com/books/2023/11/22/gustave-flaubert-letters-review/
23,Axl Rose accused of sexual assault in former model’s lawsuit,1,2023-11-22 00:00:00,assault lawsuit models axl roses used rose york sexual room claims kennedy accused,https://www.washingtonpost.com/style/2023/11/22/axl-rose-sued-sexual-assault/
24,Biden’s resistance to cease-fire could alienate youth voters in 2024,1,2023-11-22 00:00:00,biden alienate young resistance michigan youth voters bidens vote war students ceasefire 2024,https://www.washingtonpost.com/politics/2023/11/22/biden-ceasefire-youth-voters-2024/
25,Avocados have destroyed my country — and It’s the United States’ fault - The Washington Post,1,2023-11-22 00:00:00,uruapan mexican united washington states post opinion michoacán avocados country germany trade avocado fault destroyed,https://www.washingtonpost.com/opinions/2023/11/22/avocados-violence-mexico-united-states/
26,Need holiday conversation starters? Sign up for ‘Need an Opinion’ - The Washington Post,1,2023-11-22 00:00:00,conversation talk impress running thanksgiving meeting sign holiday inlaws washington post office need starters opinion table stuck,https://www.washingtonpost.com/opinions/2023/11/22/need-an-opinion-sms-sign-up/
27,At the heart of gag order case: Can free speech and a fair trial of Donald Trump co-exist? - The Washington Post,1,2023-11-22 00:00:00,staff gag speech court case free trumps judge washington post order trial judges trump heart fair,https://www.washingtonpost.com/opinions/2023/11/22/trump-gag-order-free-speech-fair-trial/
28,Read Jennifer Rubin's live chat - The Washington Post,1,2023-11-22 00:00:00,questions readers read rubins nov rubin online week washington post live transcript shell jennifer chat,https://www.washingtonpost.com/opinions/2023/11/22/jennifer-rubin-live-chat/
29,Republicans rally to Elon Musk after self-inflicted antisemitism mess - The Washington Post,1,2023-11-22 00:00:00,republicans white musks antisemitism rally carusone elon media washington post matters mess juxtapositions worldview x content selfinflicted musk,https://www.washingtonpost.com/opinions/2023/11/22/elon-musk-lawsuit-media-matters-republicans/
30,GOP primary candidates need to get serious as Democrats move left - The Washington Post,1,2023-11-22 00:00:00,hard party democrats primary israel left gop serious hamas washington post gaza republican need war democratic candidates,https://www.washingtonpost.com/opinions/2023/11/22/republicans-versus-democrats-global-threats/
31,Young Americans aren’t marrying. Politics helps explain why. - The Washington Post,1,2023-11-22 00:00:00,ideological marriage arent marrying men young z gen explain washington post political women americans politics helps polarization,https://www.washingtonpost.com/opinions/2023/11/22/marriage-polarization-dating-trump/
32,"60 years later, a Secret Service agent grapples with JFK assassination",1,2023-11-21 00:00:00,service agent landis presidents later assassination president parkland head lady bullet trauma 60 room grapples secret kennedy jfk,https://www.washingtonpost.com/history/2023/11/21/landis-secret-service-kennedy-assassination/
33,"How the world reacted to news of JFK’s death, from Biden to Khrushchev",1,2023-11-22 00:00:00,biden president kennedys radio dead reacted cold world khrushchev death war man jfks kennedy,https://www.washingtonpost.com/history/2023/11/22/jfk-assassination-reactions-biden-khrushchev/
